Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
d1_base_link,0.00343,-0.0000025,0.047074,0,0,0,1.287,0.00218,0.00000219,0.0000855,0.00232,-0.0000012,0.0032,0,0,0,0,0,0,package://d1_550_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/base_link.STL,,J0-1,CSbase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-0.000838,0.000081,0.022211,0,0,0,0.408,0.000414,-0.000000307,0.00000165,0.000398,-0.00000162,0.000292,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link1.STL,,J1-1,CS1,joint1,Joint1,revolute,0,0,0.0738,0,0,0,base_link,0,0,-1,3.33,1.05,-2.36,2.36,,,,,,,,
Empty_Link2,-0.185199,0.027907,0.000047,0,0,0,0.472,0.00014,-0.00000374,0.00000146,0.00344,-0.00000374,0.00351,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link2.STL,,J2-1,CS2,joint2,Joint2,revolute,0,-0.0276,0.0578,0,0,0,Empty_Link1,0,1,0,3.33,1.05,-1.57,1.57,,,,,,,,
Empty_Link3,0.016076,0.027468,0.043875,0,0,0,0.162,0.0000608,-0.000000201,-0.000000709,0.000086,-0.000000324,0.0000699,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link3.STL,,J3-1,CS3,joint3,Joint3,revolute,0,-0.0004,0.27,0,0,0,Empty_Link2,0,1,0,3.33,1.05,-1.57,1.57,,,,,,,,
Empty_Link4,0.088538,0.0000532,0.000443,0,0,0,0.234,0.00005,0.00000414,-0.000000521,0.000716,-0.000000222,0.000747,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link4.STL,,J4-1,CS4,joint4,Joint4,revolute,0.05,0.0275,0.041325,0,0,0,Empty_Link3,1,0,0,1.67,1.73,-2.36,2.36,,,,,,,,
Empty_Link5,0.044236,0.025833,0.005276,0,0,0,0.151,0.0000408,0.000000294,0.00000814,0.0000727,-0.000000099,0.0000644,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link5.STL,,J5-1,CS5,joint5,Joint5,revolute,0.15468,-0.0258,0.0001,0,0,0,Empty_Link4,0,1,0,1.67,1.73,-1.57,1.57,,,,,,,,
Empty_Link6,0.03835,-0.000037,0.005894,0,0,0,0.173,0.000126,-0.000000213,0.00000981,0.000115,-0.000000335,0.000185,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link6.STL,,J6-1,CS6,joint6,Joint6,revolute,0.0777,0.025822,-0.0010718,0,0,0,Empty_Link5,1,0,0,1.67,1.73,-2.36,2.36,,,,,,,,
Empty_Link_L,0.009042,0.009289,0.003495,0,0,0,0.027,0.00000219,-0.00000121,0.000000001,0.00000782,0,0.00000764,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link_L.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link_L.STL,,finger-2,CSfinger_l,joint_finger,Joint_L,prismatic,0.0718,-0.033778,0.0031,0,0,0,Empty_Link6,0,1,0,15,0.02,0,0.033,,,,,,,,
Empty_Link_R,0.009042,-0.009289,-0.003495,0,0,0,0.027,0.00000219,0.00000121,-0.000000001,0.00000782,0,0.00000764,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link_R.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://d1_550_description/meshes/Empty_Link_R.STL,,finger-1,CSfinger_r,joint_finger,Joint_R,prismatic,0.0718,0.033022,0.0031,0,0,0,Empty_Link6,0,-1,0,15,0.02,0,0.033,,,,,,,,
